# r numerical exact
0.497881 0.30262 0.302621
0.498527 0.302817 0.302818
0.499174 0.303013 0.303014
0.49982 0.30321 0.303211
0.500467 0.303406 0.303407
0.501115 0.303602 0.303603
0.501762 0.303797 0.303798
0.50241 0.303992 0.303994
0.503059 0.304187 0.304189
0.503707 0.304382 0.304383
0.504356 0.304577 0.304578
0.505005 0.304771 0.304772
0.505655 0.304965 0.304966
0.506305 0.305158 0.305159
0.506955 0.305351 0.305353
0.507606 0.305544 0.305546
0.508257 0.305737 0.305738
0.508908 0.30593 0.305931
0.50956 0.306122 0.306123
0.510212 0.306314 0.306315
0.510864 0.306505 0.306507
0.511517 0.306697 0.306698
0.51217 0.306888 0.306889
0.512823 0.307079 0.30708
0.513477 0.307269 0.30727
0.514131 0.307459 0.307461
0.514785 0.307649 0.30765
0.51544 0.307839 0.30784
0.516095 0.308028 0.308029
0.51675 0.308217 0.308219
0.517406 0.308406 0.308407
0.518062 0.308595 0.308596
0.518718 0.308783 0.308784
0.519375 0.308971 0.308972
0.520032 0.309158 0.30916
0.520689 0.309346 0.309347
0.521347 0.309533 0.309534
0.522005 0.30972 0.309721
0.522664 0.309906 0.309908
0.523323 0.310093 0.310094
0.523982 0.310279 0.31028
0.524641 0.310464 0.310466
0.525301 0.31065 0.310651
0.525961 0.310835 0.310836
0.526622 0.31102 0.311021
0.527283 0.311204 0.311206
0.527944 0.311389 0.31139
0.528606 0.311573 0.311574
0.529268 0.311756 0.311758
0.52993 0.31194 0.311941
0.530593 0.312123 0.312124
0.531256 0.312306 0.312307
0.531919 0.312489 0.31249
0.532583 0.312671 0.312672
0.533247 0.312853 0.312854
0.533912 0.313035 0.313036
0.534576 0.313216 0.313218
0.535242 0.313397 0.313399
0.535907 0.313578 0.31358
0.536573 0.313759 0.31376
0.537239 0.313939 0.313941
0.537906 0.31412 0.314121
0.538573 0.314299 0.314301
0.539241 0.314479 0.31448
0.539908 0.314658 0.314659
0.540576 0.314837 0.314838
0.541245 0.315016 0.315017
0.541914 0.315194 0.315196
0.542583 0.315372 0.315374
0.543253 0.31555 0.315551
0.543923 0.315728 0.315729
0.544593 0.315905 0.315906
0.545264 0.316082 0.316083
0.545935 0.316259 0.31626
0.546606 0.316435 0.316436
0.547278 0.316611 0.316613
0.54795 0.316787 0.316788
0.548623 0.316963 0.316964
0.549296 0.317138 0.317139
0.549969 0.317313 0.317314
0.550643 0.317488 0.317489
0.551317 0.317662 0.317664
0.551991 0.317836 0.317838
0.552666 0.31801 0.318012
0.553341 0.318184 0.318185
0.554017 0.318357 0.318359
0.554693 0.31853 0.318532
0.555369 0.318703 0.318704
0.556046 0.318875 0.318877
0.556723 0.319048 0.319049
0.557401 0.31922 0.319221
0.558079 0.319391 0.319393
0.558757 0.319563 0.319564
0.559436 0.319734 0.319735
0.560115 0.319904 0.319906
0.560794 0.320075 0.320076
0.561474 0.320245 0.320247
0.562154 0.320415 0.320417
0.562835 0.320585 0.320586
0.563516 0.320754 0.320756
0.564197 0.320923 0.320925
0.564879 0.321092 0.321094
0.565561 0.321261 0.321262
0.566244 0.321429 0.32143
0.566927 0.321597 0.321598
0.56761 0.321765 0.321766
0.568294 0.321932 0.321933
0.568978 0.322099 0.322101
0.569663 0.322266 0.322267
0.570348 0.322432 0.322434
0.571033 0.322599 0.3226
0.571719 0.322765 0.322766
0.572405 0.32293 0.322932
0.573092 0.323096 0.323097
0.573779 0.323261 0.323263
0.574466 0.323426 0.323428
0.575154 0.323591 0.323592
0.575842 0.323755 0.323756
0.576531 0.323919 0.32392
0.57722 0.324083 0.324084
0.577909 0.324246 0.324248
0.578599 0.324409 0.324411
0.579289 0.324572 0.324574
0.57998 0.324735 0.324736
0.580671 0.324897 0.324899
0.581362 0.325059 0.325061
0.582054 0.325221 0.325222
0.582746 0.325382 0.325384
0.583439 0.325543 0.325545
0.584132 0.325704 0.325706
0.584826 0.325865 0.325867
0.58552 0.326025 0.326027
0.586214 0.326185 0.326187
0.586909 0.326345 0.326347
0.587604 0.326505 0.326506
0.5883 0.326664 0.326666
0.588996 0.326823 0.326824
0.589692 0.326981 0.326983
0.590389 0.32714 0.327141
0.591086 0.327298 0.3273
0.591784 0.327456 0.327457
0.592482 0.327613 0.327615
0.593181 0.32777 0.327772
0.59388 0.327927 0.327929
0.594579 0.328084 0.328086
0.595279 0.32824 0.328242
0.59598 0.328396 0.328398
0.59668 0.328552 0.328554
0.597381 0.328708 0.32871
0.598083 0.328863 0.328865
0.598785 0.329018 0.32902
0.599487 0.329173 0.329174
0.60019 0.329327 0.329329
0.600894 0.329481 0.329483
0.601597 0.329635 0.329637
0.602302 0.329788 0.32979
0.603006 0.329942 0.329943
0.603711 0.330095 0.330096
0.604417 0.330247 0.330249
0.605123 0.3304 0.330401
0.605829 0.330552 0.330554
0.606536 0.330704 0.330705
0.607243 0.330855 0.330857
0.607951 0.331006 0.331008
0.608659 0.331157 0.331159
0.609368 0.331308 0.33131
0.610077 0.331458 0.33146
0.610786 0.331609 0.33161
0.611496 0.331758 0.33176
0.612206 0.331908 0.33191
0.612917 0.332057 0.332059
0.613629 0.332206 0.332208
0.61434 0.332355 0.332357
0.615052 0.332503 0.332505
0.615765 0.332651 0.332653
0.616478 0.332799 0.332801
0.617192 0.332947 0.332949
0.617906 0.333094 0.333096
0.61862 0.333241 0.333243
0.619335 0.333388 0.333389
0.62005 0.333534 0.333536
0.620766 0.33368 0.333682
0.621483 0.333826 0.333828
0.622199 0.333971 0.333973
0.622916 0.334117 0.334119
0.623634 0.334262 0.334264
0.624352 0.334406 0.334408
0.625071 0.334551 0.334553
0.62579 0.334695 0.334697
0.626509 0.334839 0.334841
0.627229 0.334982 0.334984
0.62795 0.335125 0.335127
0.628671 0.335268 0.33527
0.629392 0.335411 0.335413
0.630114 0.335553 0.335555
0.630836 0.335695 0.335697
0.631559 0.335837 0.335839
0.632282 0.335979 0.335981
0.633006 0.33612 0.336122
0.63373 0.336261 0.336263
0.634455 0.336402 0.336404
0.63518 0.336542 0.336544
0.635906 0.336682 0.336684
0.636632 0.336822 0.336824
0.637359 0.336961 0.336963
0.638086 0.337101 0.337102
0.638813 0.337239 0.337241
0.639542 0.337378 0.33738
0.64027 0.337516 0.337518
0.640999 0.337654 0.337656
0.641729 0.337792 0.337794
0.642459 0.33793 0.337932
0.643189 0.338067 0.338069
0.64392 0.338204 0.338206
0.644652 0.33834 0.338342
0.645384 0.338477 0.338479
0.646116 0.338613 0.338615
0.646849 0.338748 0.33875
0.647582 0.338884 0.338886
0.648316 0.339019 0.339021
0.649051 0.339154 0.339156
0.649786 0.339289 0.339291
0.650521 0.339423 0.339425
0.651257 0.339557 0.339559
0.651993 0.339691 0.339693
0.65273 0.339824 0.339826
0.653468 0.339957 0.339959
0.654206 0.34009 0.340092
0.654944 0.340222 0.340225
0.655683 0.340355 0.340357
0.656422 0.340487 0.340489
0.657162 0.340618 0.34062
0.657903 0.34075 0.340752
0.658644 0.340881 0.340883
0.659385 0.341012 0.341014
0.660127 0.341142 0.341144
0.660869 0.341272 0.341274
0.661612 0.341402 0.341404
0.662356 0.341532 0.341534
0.6631 0.341661 0.341663
0.663844 0.34179 0.341792
0.664589 0.341919 0.341921
0.665335 0.342047 0.34205
0.666081 0.342176 0.342178
0.666828 0.342303 0.342306
0.667575 0.342431 0.342433
0.668322 0.342558 0.342561
0.669071 0.342685 0.342688
0.669819 0.342812 0.342814
0.670568 0.342938 0.342941
0.671318 0.343065 0.343067
0.672068 0.34319 0.343193
0.672819 0.343316 0.343318
0.67357 0.343441 0.343443
0.674322 0.343566 0.343568
0.675075 0.343691 0.343693
0.675828 0.343815 0.343817
0.676581 0.343939 0.343941
0.677335 0.344063 0.344065
0.678089 0.344186 0.344189
0.678844 0.34431 0.344312
0.6796 0.344432 0.344435
0.680356 0.344555 0.344557
0.681113 0.344677 0.34468
0.68187 0.344799 0.344802
0.682628 0.344921 0.344923
0.683386 0.345042 0.345045
0.684145 0.345163 0.345166
0.684904 0.345284 0.345287
0.685664 0.345405 0.345407
0.686424 0.345525 0.345527
0.687185 0.345645 0.345647
0.687947 0.345765 0.345767
0.688709 0.345884 0.345886
0.689471 0.346003 0.346005
0.690235 0.346122 0.346124
0.690998 0.34624 0.346242
0.691763 0.346358 0.346361
0.692527 0.346476 0.346478
0.693293 0.346594 0.346596
0.694059 0.346711 0.346713
0.694825 0.346828 0.34683
0.695592 0.346944 0.346947
0.69636 0.347061 0.347063
0.697128 0.347177 0.347179
0.697897 0.347293 0.347295
0.698666 0.347408 0.34741
0.699436 0.347523 0.347526
0.700207 0.347638 0.34764
0.700978 0.347753 0.347755
0.701749 0.347867 0.347869
0.702521 0.347981 0.347983
0.703294 0.348095 0.348097
0.704067 0.348208 0.34821
0.704841 0.348321 0.348323
0.705616 0.348434 0.348436
0.706391 0.348546 0.348549
0.707166 0.348658 0.348661
0.707942 0.34877 0.348773
0.708719 0.348882 0.348884
0.709496 0.348993 0.348995
0.710274 0.349104 0.349106
0.711053 0.349215 0.349217
0.711832 0.349325 0.349327
0.712611 0.349435 0.349438
0.713392 0.349545 0.349547
0.714172 0.349654 0.349657
0.714954 0.349763 0.349766
0.715736 0.349872 0.349875
0.716518 0.349981 0.349983
0.717302 0.350089 0.350092
0.718085 0.350197 0.3502
0.71887 0.350305 0.350307
0.719655 0.350412 0.350415
0.72044 0.350519 0.350522
0.721226 0.350626 0.350628
0.722013 0.350732 0.350735
0.7228 0.350838 0.350841
0.723588 0.350944 0.350947
0.724377 0.35105 0.351052
0.725166 0.351155 0.351157
0.725956 0.35126 0.351262
0.726746 0.351364 0.351367
0.727537 0.351469 0.351471
0.728329 0.351573 0.351575
0.729121 0.351676 0.351679
0.729914 0.35178 0.351782
0.730707 0.351883 0.351885
0.731501 0.351986 0.351988
0.732296 0.352088 0.352091
0.733091 0.35219 0.352193
0.733887 0.352292 0.352295
0.734683 0.352394 0.352396
0.73548 0.352495 0.352497
0.736278 0.352596 0.352598
0.737076 0.352696 0.352699
0.737875 0.352797 0.352799
0.738675 0.352897 0.352899
0.739475 0.352996 0.352999
0.740276 0.353096 0.353098
0.741077 0.353195 0.353198
0.741879 0.353294 0.353296
0.742682 0.353392 0.353395
0.743485 0.35349 0.353493
0.744289 0.353588 0.353591
0.745094 0.353686 0.353688
0.745899 0.353783 0.353786
0.746705 0.35388 0.353883
0.747512 0.353977 0.353979
0.748319 0.354073 0.354076
0.749126 0.354169 0.354172
0.749935 0.354265 0.354267
0.750744 0.35436 0.354363
0.751554 0.354455 0.354458
0.752364 0.35455 0.354552
0.753175 0.354644 0.354647
0.753987 0.354738 0.354741
0.754799 0.354832 0.354835
0.755612 0.354926 0.354928
0.756426 0.355019 0.355022
0.75724 0.355112 0.355114
0.758055 0.355204 0.355207
0.75887 0.355297 0.355299
0.759687 0.355388 0.355391
0.760503 0.35548 0.355483
0.761321 0.355571 0.355574
0.762139 0.355662 0.355665
0.762958 0.355753 0.355756
0.763778 0.355844 0.355846
0.764598 0.355934 0.355936
0.765419 0.356023 0.356026
0.76624 0.356113 0.356116
0.767062 0.356202 0.356205
0.767885 0.356291 0.356294
0.768709 0.356379 0.356382
0.769533 0.356467 0.35647
0.770358 0.356555 0.356558
0.771184 0.356643 0.356646
0.77201 0.35673 0.356733
0.772837 0.356817 0.35682
0.773664 0.356904 0.356906
0.774493 0.35699 0.356993
0.775322 0.357076 0.357079
0.776151 0.357161 0.357164
0.776982 0.357247 0.35725
0.777813 0.357332 0.357335
0.778644 0.357417 0.357419
0.779477 0.357501 0.357504
0.78031 0.357585 0.357588
0.781144 0.357669 0.357672
0.781978 0.357752 0.357755
0.782813 0.357835 0.357838
0.783649 0.357918 0.357921
0.784486 0.358 0.358003
0.785323 0.358083 0.358086
0.786161 0.358164 0.358167
0.787 0.358246 0.358249
0.787839 0.358327 0.35833
0.788679 0.358408 0.358411
0.78952 0.358489 0.358492
0.790362 0.358569 0.358572
0.791204 0.358649 0.358652
0.792047 0.358728 0.358731
0.79289 0.358808 0.358811
0.793735 0.358886 0.35889
0.79458 0.358965 0.358968
0.795426 0.359043 0.359046
0.796272 0.359121 0.359124
0.797119 0.359199 0.359202
0.797967 0.359276 0.359279
0.798816 0.359353 0.359356
0.799665 0.35943 0.359433
0.800515 0.359506 0.359509
0.801366 0.359582 0.359585
0.802218 0.359658 0.359661
0.80307 0.359733 0.359737
0.803923 0.359808 0.359812
0.804777 0.359883 0.359886
0.805632 0.359958 0.359961
0.806487 0.360032 0.360035
0.807343 0.360105 0.360109
0.8082 0.360179 0.360182
0.809057 0.360252 0.360255
0.809915 0.360325 0.360328
0.810774 0.360397 0.3604
0.811634 0.360469 0.360472
0.812494 0.360541 0.360544
0.813356 0.360612 0.360616
0.814218 0.360684 0.360687
0.81508 0.360754 0.360758
0.815944 0.360825 0.360828
0.816808 0.360895 0.360898
0.817673 0.360965 0.360968
0.818539 0.361034 0.361038
0.819405 0.361103 0.361107
0.820272 0.361172 0.361176
0.821141 0.361241 0.361244
0.822009 0.361309 0.361312
0.822879 0.361377 0.36138
0.823749 0.361444 0.361448
0.82462 0.361511 0.361515
0.825492 0.361578 0.361582
0.826365 0.361645 0.361648
0.827238 0.361711 0.361714
0.828112 0.361777 0.36178
0.828987 0.361842 0.361846
0.829863 0.361907 0.361911
0.83074 0.361972 0.361976
0.831617 0.362037 0.36204
0.832495 0.362101 0.362104
0.833374 0.362165 0.362168
0.834254 0.362228 0.362232
0.835134 0.362291 0.362295
0.836015 0.362354 0.362358
0.836898 0.362417 0.36242
0.83778 0.362479 0.362482
0.838664 0.362541 0.362544
0.839548 0.362602 0.362606
0.840434 0.362663 0.362667
0.84132 0.362724 0.362728
0.842207 0.362785 0.362788
0.843094 0.362845 0.362848
0.843983 0.362904 0.362908
0.844872 0.362964 0.362967
0.845762 0.363023 0.363027
0.846653 0.363082 0.363085
0.847545 0.36314 0.363144
0.848437 0.363198 0.363202
0.849331 0.363256 0.36326
0.850225 0.363314 0.363317
0.85112 0.363371 0.363374
0.852016 0.363427 0.363431
0.852912 0.363484 0.363487
0.85381 0.36354 0.363543
0.854708 0.363596 0.363599
0.855607 0.363651 0.363654
0.856507 0.363706 0.36371
0.857408 0.363761 0.363764
0.858309 0.363815 0.363819
0.859212 0.363869 0.363873
0.860115 0.363923 0.363926
0.861019 0.363976 0.36398
0.861924 0.364029 0.364032
0.86283 0.364081 0.364085
0.863737 0.364134 0.364137
0.864644 0.364186 0.364189
0.865553 0.364237 0.364241
0.866462 0.364288 0.364292
0.867372 0.364339 0.364343
0.868283 0.36439 0.364394
0.869195 0.36444 0.364444
0.870107 0.36449 0.364494
0.871021 0.364539 0.364543
0.871935 0.364589 0.364592
0.87285 0.364637 0.364641
0.873766 0.364686 0.36469
0.874683 0.364734 0.364738
0.875601 0.364782 0.364786
0.87652 0.364829 0.364833
0.877439 0.364876 0.36488
0.87836 0.364923 0.364927
0.879281 0.364969 0.364973
0.880203 0.365015 0.365019
0.881127 0.365061 0.365065
0.882051 0.365106 0.36511
0.882975 0.365151 0.365155
0.883901 0.365196 0.3652
0.884828 0.36524 0.365244
0.885755 0.365284 0.365288
0.886684 0.365327 0.365331
0.887613 0.365371 0.365374
0.888543 0.365413 0.365417
0.889474 0.365456 0.36546
0.890406 0.365498 0.365502
0.891339 0.36554 0.365544
0.892273 0.365581 0.365585
0.893208 0.365622 0.365626
0.894144 0.365663 0.365667
0.89508 0.365703 0.365707
0.896018 0.365743 0.365747
0.896956 0.365783 0.365787
0.897895 0.365822 0.365826
0.898836 0.365861 0.365865
0.899777 0.3659 0.365904
0.900719 0.365938 0.365942
0.901662 0.365976 0.36598
0.902606 0.366013 0.366017
0.903551 0.36605 0.366054
0.904496 0.366087 0.366091
0.905443 0.366123 0.366127
0.906391 0.366159 0.366163
0.907339 0.366195 0.366199
0.908289 0.36623 0.366234
0.909239 0.366265 0.366269
0.910191 0.3663 0.366304
0.911143 0.366334 0.366338
0.912096 0.366368 0.366372
0.913051 0.366401 0.366406
0.914006 0.366435 0.366439
0.914962 0.366467 0.366471
0.915919 0.3665 0.366504
0.916877 0.366532 0.366536
0.917836 0.366563 0.366568
0.918796 0.366595 0.366599
0.919757 0.366626 0.36663
0.920719 0.366656 0.36666
0.921682 0.366686 0.366691
0.922646 0.366716 0.36672
0.923611 0.366746 0.36675
0.924577 0.366775 0.366779
0.925544 0.366803 0.366808
0.926511 0.366832 0.366836
0.92748 0.36686 0.366864
0.92845 0.366887 0.366892
0.929421 0.366915 0.366919
0.930392 0.366941 0.366946
0.931365 0.366968 0.366972
0.932339 0.366994 0.366998
0.933314 0.36702 0.367024
0.934289 0.367045 0.36705
0.935266 0.36707 0.367075
0.936244 0.367095 0.367099
0.937223 0.367119 0.367123
0.938202 0.367143 0.367147
0.939183 0.367166 0.367171
0.940165 0.36719 0.367194
0.941148 0.367212 0.367217
0.942132 0.367235 0.367239
0.943116 0.367257 0.367261
0.944102 0.367278 0.367283
0.945089 0.3673 0.367304
0.946077 0.367321 0.367325
0.947066 0.367341 0.367345
0.948056 0.367361 0.367366
0.949047 0.367381 0.367385
0.950039 0.3674 0.367405
0.951032 0.367419 0.367424
0.952026 0.367438 0.367442
0.953021 0.367456 0.367461
0.954018 0.367474 0.367478
0.955015 0.367491 0.367496
0.956013 0.367508 0.367513
0.957013 0.367525 0.36753
0.958013 0.367541 0.367546
0.959015 0.367557 0.367562
0.960017 0.367573 0.367577
0.961021 0.367588 0.367593
0.962025 0.367603 0.367607
0.963031 0.367617 0.367622
0.964038 0.367631 0.367636
0.965046 0.367645 0.367649
0.966055 0.367658 0.367663
0.967065 0.367671 0.367675
0.968076 0.367683 0.367688
0.969088 0.367695 0.3677
0.970102 0.367707 0.367712
0.971116 0.367718 0.367723
0.972131 0.367729 0.367734
0.973148 0.36774 0.367744
0.974166 0.36775 0.367755
0.975184 0.36776 0.367764
0.976204 0.367769 0.367774
0.977225 0.367778 0.367783
0.978247 0.367786 0.367791
0.979271 0.367794 0.367799
0.980295 0.367802 0.367807
0.98132 0.36781 0.367814
0.982347 0.367817 0.367821
0.983375 0.367823 0.367828
0.984403 0.367829 0.367834
0.985433 0.367835 0.36784
0.986464 0.367841 0.367845
0.987497 0.367846 0.36785
0.98853 0.36785 0.367855
0.989564 0.367854 0.367859
0.9906 0.367858 0.367863
0.991637 0.367862 0.367867
0.992675 0.367865 0.36787
0.993714 0.367867 0.367872
0.994754 0.367869 0.367874
0.995795 0.367871 0.367876
0.996838 0.367873 0.367878
0.997881 0.367874 0.367879
0.998926 0.367874 0.367879
0.999972 0.367874 0.367879
1.00102 0.367874 0.367879
1.00207 0.367874 0.367879
1.00312 0.367873 0.367878
1.00417 0.367871 0.367876
1.00522 0.367869 0.367874
1.00627 0.367867 0.367872
1.00733 0.367864 0.36787
1.00838 0.367861 0.367867
1.00944 0.367858 0.367863
1.0105 0.367854 0.367859
1.01156 0.36785 0.367855
1.01262 0.367845 0.36785
1.01368 0.36784 0.367845
1.01474 0.367835 0.36784
1.0158 0.367829 0.367834
1.01687 0.367822 0.367828
1.01794 0.367816 0.367821
1.019 0.367809 0.367814
1.02007 0.367801 0.367806
1.02114 0.367793 0.367798
1.02221 0.367785 0.36779
1.02328 0.367776 0.367781
1.02436 0.367767 0.367772
1.02543 0.367757 0.367762
1.02651 0.367747 0.367752
1.02759 0.367737 0.367742
1.02866 0.367726 0.367731
1.02974 0.367715 0.36772
1.03083 0.367703 0.367708
1.03191 0.367691 0.367696
1.03299 0.367678 0.367684
1.03408 0.367665 0.367671
1.03516 0.367652 0.367657
1.03625 0.367638 0.367643
1.03734 0.367624 0.367629
1.03843 0.367609 0.367615
1.03952 0.367594 0.3676
1.04061 0.367579 0.367584
1.04171 0.367563 0.367568
1.0428 0.367546 0.367552
1.0439 0.36753 0.367535
1.045 0.367512 0.367518
1.04609 0.367495 0.3675
1.04719 0.367477 0.367482
1.0483 0.367458 0.367464
1.0494 0.36744 0.367445
1.0505 0.36742 0.367426
1.05161 0.3674 0.367406
1.05271 0.36738 0.367386
1.05382 0.36736 0.367365
1.05493 0.367339 0.367344
1.05604 0.367317 0.367323
1.05716 0.367295 0.367301
1.05827 0.367273 0.367279
1.05938 0.36725 0.367256
1.0605 0.367227 0.367233
1.06162 0.367203 0.367209
1.06274 0.367179 0.367185
1.06386 0.367155 0.367161
1.06498 0.36713 0.367136
1.0661 0.367105 0.36711
1.06722 0.367079 0.367085
1.06835 0.367052 0.367058
1.06948 0.367026 0.367032
1.07061 0.366999 0.367005
1.07174 0.366971 0.366977
1.07287 0.366943 0.366949
1.074 0.366915 0.366921
1.07513 0.366886 0.366892
1.07627 0.366856 0.366862
1.0774 0.366827 0.366833
1.07854 0.366796 0.366802
1.07968 0.366766 0.366772
1.08082 0.366735 0.366741
1.08197 0.366703 0.366709
1.08311 0.366671 0.366677
1.08425 0.366639 0.366645
1.0854 0.366606 0.366612
1.08655 0.366573 0.366579
1.0877 0.366539 0.366545
1.08885 0.366505 0.366511
1.09 0.36647 0.366476
1.09115 0.366435 0.366441
1.09231 0.366399 0.366405
1.09347 0.366363 0.366369
1.09462 0.366327 0.366333
1.09578 0.36629 0.366296
1.09695 0.366252 0.366258
1.09811 0.366214 0.366221
1.09927 0.366176 0.366182
1.10044 0.366137 0.366144
1.1016 0.366098 0.366104
1.10277 0.366059 0.366065
1.10394 0.366018 0.366025
1.10511 0.365978 0.365984
1.10629 0.365937 0.365943
1.10746 0.365895 0.365902
1.10864 0.365853 0.36586
1.10981 0.365811 0.365817
1.11099 0.365768 0.365774
1.11217 0.365725 0.365731
1.11335 0.365681 0.365687
1.11454 0.365637 0.365643
1.11572 0.365592 0.365598
1.11691 0.365547 0.365553
1.1181 0.365501 0.365507
1.11929 0.365455 0.365461
1.12048 0.365408 0.365415
1.12167 0.365361 0.365368
1.12286 0.365314 0.36532
1.12406 0.365266 0.365272
1.12526 0.365217 0.365224
1.12646 0.365168 0.365175
1.12766 0.365119 0.365125
1.12886 0.365069 0.365075
1.13006 0.365018 0.365025
1.13127 0.364968 0.364974
1.13247 0.364916 0.364923
1.13368 0.364864 0.364871
1.13489 0.364812 0.364819
1.1361 0.364759 0.364766
1.13732 0.364706 0.364713
1.13853 0.364652 0.364659
1.13975 0.364598 0.364605
1.14097 0.364544 0.36455
1.14219 0.364488 0.364495
1.14341 0.364433 0.36444
1.14463 0.364377 0.364383
1.14585 0.36432 0.364327
1.14708 0.364263 0.36427
1.14831 0.364205 0.364212
1.14954 0.364147 0.364154
1.15077 0.364089 0.364096
1.152 0.36403 0.364037
1.15324 0.36397 0.363977
1.15447 0.36391 0.363917
1.15571 0.36385 0.363857
1.15695 0.363789 0.363796
1.15819 0.363727 0.363734
1.15943 0.363665 0.363672
1.16068 0.363603 0.36361
1.16192 0.36354 0.363547
1.16317 0.363477 0.363484
1.16442 0.363413 0.36342
1.16567 0.363348 0.363355
1.16692 0.363283 0.36329
1.16818 0.363218 0.363225
1.16944 0.363152 0.363159
1.17069 0.363086 0.363093
1.17195 0.363019 0.363026
1.17322 0.362951 0.362958
1.17448 0.362883 0.36289
1.17574 0.362815 0.362822
1.17701 0.362746 0.362753
1.17828 0.362676 0.362684
1.17955 0.362606 0.362614
1.18082 0.362536 0.362543
1.1821 0.362465 0.362472
1.18337 0.362394 0.362401
1.18465 0.362322 0.362329
1.18593 0.362249 0.362256
1.18721 0.362176 0.362183
1.1885 0.362103 0.36211
1.18978 0.362029 0.362036
1.19107 0.361954 0.361961
1.19236 0.361879 0.361886
1.19365 0.361804 0.361811
1.19494 0.361727 0.361735
1.19623 0.361651 0.361658
1.19753 0.361574 0.361581
1.19883 0.361496 0.361504
1.20013 0.361418 0.361425
1.20143 0.361339 0.361347
1.20273 0.36126 0.361268
1.20404 0.36118 0.361188
1.20534 0.3611 0.361108
1.20665 0.361019 0.361027
1.20796 0.360938 0.360946
1.20928 0.360856 0.360864
1.21059 0.360774 0.360782
1.21191 0.360691 0.360699
1.21323 0.360608 0.360615
1.21455 0.360524 0.360532
1.21587 0.360439 0.360447
1.21719 0.360354 0.360362
1.21852 0.360269 0.360277
1.21985 0.360183 0.360191
1.22118 0.360096 0.360104
1.22251 0.360009 0.360017
1.22384 0.359922 0.359929
1.22518 0.359833 0.359841
1.22652 0.359745 0.359753
1.22786 0.359655 0.359663
1.2292 0.359566 0.359574
1.23054 0.359475 0.359483
1.23189 0.359384 0.359392
1.23324 0.359293 0.359301
1.23459 0.359201 0.359209
1.23594 0.359108 0.359116
1.2373 0.359015 0.359023
1.23865 0.358922 0.35893
1.24001 0.358828 0.358836
1.24137 0.358733 0.358741
1.24273 0.358638 0.358646
1.2441 0.358542 0.35855
1.24546 0.358446 0.358454
1.24683 0.358349 0.358357
1.2482 0.358251 0.358259
1.24958 0.358153 0.358161
1.25095 0.358055 0.358063
1.25233 0.357955 0.357964
1.25371 0.357856 0.357864
1.25509 0.357756 0.357764
1.25647 0.357655 0.357663
1.25786 0.357553 0.357562
1.25924 0.357451 0.35746
1.26063 0.357349 0.357357
1.26203 0.357246 0.357254
1.26342 0.357142 0.357151
1.26482 0.357038 0.357046
1.26622 0.356933 0.356942
1.26762 0.356828 0.356836
1.26902 0.356722 0.35673
1.27042 0.356616 0.356624
1.27183 0.356508 0.356517
1.27324 0.356401 0.356409
1.27465 0.356293 0.356301
1.27607 0.356184 0.356192
1.27748 0.356075 0.356083
1.2789 0.355965 0.355973
1.28032 0.355854 0.355863
1.28174 0.355743 0.355752
1.28317 0.355631 0.35564
1.2846 0.355519 0.355528
1.28603 0.355406 0.355415
1.28746 0.355293 0.355302
1.28889 0.355179 0.355188
1.29033 0.355064 0.355073
1.29177 0.354949 0.354958
1.29321 0.354833 0.354842
1.29465 0.354717 0.354726
1.2961 0.3546 0.354609
1.29755 0.354482 0.354491
1.299 0.354364 0.354373
1.30045 0.354245 0.354254
1.30191 0.354126 0.354135
1.30336 0.354006 0.354015
1.30482 0.353886 0.353895
1.30629 0.353765 0.353774
1.30775 0.353643 0.353652
1.30922 0.35352 0.353529
1.31069 0.353397 0.353407
1.31216 0.353274 0.353283
1.31364 0.35315 0.353159
1.31511 0.353025 0.353034
1.31659 0.3529 0.352909
1.31808 0.352774 0.352783
1.31956 0.352647 0.352656
1.32105 0.35252 0.352529
1.32254 0.352392 0.352401
1.32403 0.352264 0.352273
1.32552 0.352134 0.352144
1.32702 0.352005 0.352014
1.32852 0.351874 0.351884
1.33002 0.351744 0.351753
1.33153 0.351612 0.351621
1.33303 0.35148 0.351489
1.33454 0.351347 0.351356
1.33606 0.351214 0.351223
1.33757 0.35108 0.351089
1.33909 0.350945 0.350954
1.34061 0.35081 0.350819
1.34213 0.350674 0.350683
1.34366 0.350537 0.350547
1.34518 0.3504 0.350409
1.34671 0.350262 0.350272
1.34825 0.350123 0.350133
1.34978 0.349984 0.349994
1.35132 0.349844 0.349854
1.35286 0.349704 0.349714
1.35441 0.349563 0.349573
1.35595 0.349421 0.349431
1.3575 0.349279 0.349289
1.35906 0.349136 0.349146
1.36061 0.348992 0.349002
1.36217 0.348848 0.348858
1.36373 0.348703 0.348713
1.36529 0.348557 0.348567
1.36686 0.348411 0.348421
1.36843 0.348264 0.348274
1.37 0.348117 0.348127
1.37157 0.347968 0.347978
1.37315 0.347819 0.34783
1.37473 0.34767 0.34768
1.37631 0.34752 0.34753
1.3779 0.347369 0.347379
1.37949 0.347217 0.347227
1.38108 0.347065 0.347075
1.38267 0.346912 0.346922
1.38427 0.346758 0.346769
1.38587 0.346604 0.346614
1.38747 0.346449 0.34646
1.38908 0.346294 0.346304
1.39069 0.346137 0.346148
1.3923 0.34598 0.345991
1.39392 0.345823 0.345833
1.39553 0.345664 0.345675
1.39715 0.345505 0.345516
