# r numerical exact
0.0928279 0.0845986 0.0845987
0.0933453 0.0850261 0.0850263
0.0938628 0.0854533 0.0854534
0.0943804 0.08588 0.0858802
0.094898 0.0863064 0.0863065
0.0954158 0.0867323 0.0867325
0.0959337 0.0871579 0.0871581
0.0964516 0.0875831 0.0875833
0.0969696 0.0880079 0.0880081
0.0974878 0.0884323 0.0884325
0.098006 0.0888563 0.0888565
0.0985243 0.08928 0.0892801
0.0990427 0.0897032 0.0897034
0.0995612 0.0901261 0.0901262
0.10008 0.0905485 0.0905487
0.100598 0.0909706 0.0909708
0.101117 0.0913923 0.0913925
0.101636 0.0918136 0.0918138
0.102155 0.0922345 0.0922347
0.102674 0.0926551 0.0926552
0.103193 0.0930752 0.0930754
0.103712 0.093495 0.0934951
0.104232 0.0939143 0.0939145
0.104751 0.0943333 0.0943335
0.105271 0.0947519 0.0947521
0.10579 0.0951701 0.0951703
0.10631 0.0955879 0.0955881
0.10683 0.0960054 0.0960055
0.10735 0.0964224 0.0964226
0.107869 0.0968391 0.0968393
0.10839 0.0972554 0.0972556
0.10891 0.0976713 0.0976715
0.10943 0.0980868 0.098087
0.10995 0.098502 0.0985021
0.110471 0.0989167 0.0989169
0.110991 0.0993311 0.0993313
0.111512 0.0997451 0.0997452
0.112033 0.100159 0.100159
0.112553 0.100572 0.100572
0.113074 0.100985 0.100985
0.113595 0.101397 0.101397
0.114116 0.101809 0.101809
0.114638 0.102221 0.102221
0.115159 0.102632 0.102632
0.11568 0.103043 0.103043
0.116202 0.103454 0.103454
0.116723 0.103864 0.103864
0.117245 0.104274 0.104274
0.117767 0.104683 0.104683
0.118289 0.105092 0.105092
0.118811 0.105501 0.105501
0.119333 0.105909 0.105909
0.119855 0.106317 0.106317
0.120377 0.106725 0.106725
0.1209 0.107132 0.107132
0.121422 0.107538 0.107539
0.121945 0.107945 0.107945
0.122467 0.108351 0.108351
0.12299 0.108756 0.108757
0.123513 0.109162 0.109162
0.124036 0.109567 0.109567
0.124559 0.109971 0.109971
0.125082 0.110375 0.110375
0.125605 0.110779 0.110779
0.126129 0.111182 0.111183
0.126652 0.111585 0.111586
0.127176 0.111988 0.111988
0.127699 0.11239 0.11239
0.128223 0.112792 0.112792
0.128747 0.113194 0.113194
0.129271 0.113595 0.113595
0.129795 0.113995 0.113996
0.130319 0.114396 0.114396
0.130843 0.114796 0.114796
0.131368 0.115195 0.115196
0.131892 0.115595 0.115595
0.132417 0.115994 0.115994
0.132941 0.116392 0.116392
0.133466 0.11679 0.11679
0.133991 0.117188 0.117188
0.134516 0.117585 0.117586
0.135041 0.117982 0.117983
0.135566 0.118379 0.118379
0.136091 0.118775 0.118775
0.136617 0.119171 0.119171
0.137142 0.119567 0.119567
0.137668 0.119962 0.119962
0.138193 0.120357 0.120357
0.138719 0.120751 0.120751
0.139245 0.121145 0.121145
0.139771 0.121539 0.121539
0.140297 0.121932 0.121932
0.140823 0.122325 0.122325
0.14135 0.122718 0.122718
0.141876 0.12311 0.12311
0.142403 0.123502 0.123502
0.142929 0.123893 0.123893
0.143456 0.124284 0.124284
0.143983 0.124675 0.124675
0.14451 0.125065 0.125065
0.145037 0.125455 0.125455
0.145564 0.125845 0.125845
0.146091 0.126234 0.126234
0.146619 0.126623 0.126623
0.147146 0.127012 0.127012
0.147674 0.1274 0.1274
0.148201 0.127787 0.127788
0.148729 0.128175 0.128175
0.149257 0.128562 0.128562
0.149785 0.128949 0.128949
0.150313 0.129335 0.129335
0.150841 0.129721 0.129721
0.15137 0.130107 0.130107
0.151898 0.130492 0.130492
0.152427 0.130877 0.130877
0.152955 0.131261 0.131261
0.153484 0.131645 0.131646
0.154013 0.132029 0.132029
0.154542 0.132413 0.132413
0.155071 0.132796 0.132796
0.1556 0.133178 0.133178
0.15613 0.133561 0.133561
0.156659 0.133943 0.133943
0.157189 0.134324 0.134324
0.157718 0.134705 0.134706
0.158248 0.135086 0.135086
0.158778 0.135467 0.135467
0.159308 0.135847 0.135847
0.159838 0.136227 0.136227
0.160368 0.136606 0.136606
0.160898 0.136985 0.136985
0.161429 0.137364 0.137364
0.161959 0.137742 0.137743
0.16249 0.13812 0.138121
0.163021 0.138498 0.138498
0.163552 0.138875 0.138875
0.164083 0.139252 0.139252
0.164614 0.139629 0.139629
0.165145 0.140005 0.140005
0.165676 0.140381 0.140381
0.166208 0.140756 0.140756
0.166739 0.141131 0.141131
0.167271 0.141506 0.141506
0.167803 0.14188 0.141881
0.168335 0.142254 0.142255
0.168867 0.142628 0.142628
0.169399 0.143001 0.143002
0.169931 0.143374 0.143375
0.170463 0.143747 0.143747
0.170996 0.144119 0.14412
0.171528 0.144491 0.144491
0.172061 0.144863 0.144863
0.172594 0.145234 0.145234
0.173127 0.145605 0.145605
0.17366 0.145975 0.145976
0.174193 0.146345 0.146346
0.174726 0.146715 0.146715
0.17526 0.147085 0.147085
0.175793 0.147454 0.147454
0.176327 0.147822 0.147823
0.176861 0.148191 0.148191
0.177395 0.148559 0.148559
0.177929 0.148926 0.148927
0.178463 0.149294 0.149294
0.178997 0.149661 0.149661
0.179531 0.150027 0.150027
0.180066 0.150393 0.150394
0.1806 0.150759 0.150759
0.181135 0.151125 0.151125
0.18167 0.15149 0.15149
0.182205 0.151855 0.151855
0.18274 0.152219 0.152219
0.183275 0.152583 0.152584
0.18381 0.152947 0.152947
0.184346 0.153311 0.153311
0.184881 0.153674 0.153674
0.185417 0.154036 0.154037
0.185953 0.154399 0.154399
0.186489 0.154761 0.154761
0.187025 0.155122 0.155123
0.187561 0.155484 0.155484
0.188097 0.155845 0.155845
0.188633 0.156205 0.156205
0.18917 0.156565 0.156566
0.189707 0.156925 0.156926
0.190243 0.157285 0.157285
0.19078 0.157644 0.157644
0.191317 0.158003 0.158003
0.191854 0.158362 0.158362
0.192392 0.15872 0.15872
0.192929 0.159078 0.159078
0.193467 0.159435 0.159435
0.194004 0.159792 0.159792
0.194542 0.160149 0.160149
0.19508 0.160505 0.160506
0.195618 0.160861 0.160862
0.196156 0.161217 0.161217
0.196694 0.161573 0.161573
0.197233 0.161928 0.161928
0.197771 0.162282 0.162283
0.19831 0.162637 0.162637
0.198848 0.162991 0.162991
0.199387 0.163344 0.163345
0.199926 0.163698 0.163698
0.200466 0.164051 0.164051
0.201005 0.164403 0.164404
0.201544 0.164756 0.164756
0.202084 0.165107 0.165108
0.202623 0.165459 0.165459
0.203163 0.16581 0.165811
0.203703 0.166161 0.166162
0.204243 0.166512 0.166512
0.204783 0.166862 0.166862
0.205324 0.167212 0.167212
0.205864 0.167561 0.167562
0.206405 0.167911 0.167911
0.206945 0.168259 0.16826
0.207486 0.168608 0.168608
0.208027 0.168956 0.168956
0.208568 0.169304 0.169304
0.209109 0.169651 0.169652
0.209651 0.169999 0.169999
0.210192 0.170345 0.170346
0.210734 0.170692 0.170692
0.211275 0.171038 0.171038
0.211817 0.171384 0.171384
0.212359 0.171729 0.171729
0.212901 0.172074 0.172075
0.213444 0.172419 0.172419
0.213986 0.172763 0.172764
0.214529 0.173107 0.173108
0.215071 0.173451 0.173452
0.215614 0.173795 0.173795
0.216157 0.174138 0.174138
0.2167 0.17448 0.174481
0.217243 0.174823 0.174823
0.217787 0.175165 0.175165
0.21833 0.175506 0.175507
0.218874 0.175848 0.175848
0.219417 0.176189 0.176189
0.219961 0.17653 0.17653
0.220505 0.17687 0.17687
0.221049 0.17721 0.17721
0.221594 0.17755 0.17755
0.222138 0.177889 0.177889
0.222683 0.178228 0.178228
0.223227 0.178567 0.178567
0.223772 0.178905 0.178905
0.224317 0.179243 0.179243
0.224862 0.179581 0.179581
0.225407 0.179918 0.179918
0.225953 0.180255 0.180255
0.226498 0.180591 0.180592
0.227044 0.180928 0.180928
0.22759 0.181264 0.181264
0.228136 0.181599 0.1816
0.228682 0.181935 0.181935
0.229228 0.18227 0.18227
0.229774 0.182604 0.182605
0.230321 0.182939 0.182939
0.230868 0.183273 0.183273
0.231414 0.183606 0.183607
0.231961 0.183939 0.18394
0.232508 0.184272 0.184273
0.233055 0.184605 0.184605
0.233603 0.184937 0.184938
0.23415 0.185269 0.18527
0.234698 0.185601 0.185601
0.235246 0.185932 0.185933
0.235794 0.186263 0.186264
0.236342 0.186594 0.186594
0.23689 0.186924 0.186925
0.237438 0.187254 0.187255
0.237987 0.187584 0.187584
0.238535 0.187913 0.187914
0.239084 0.188242 0.188242
0.239633 0.188571 0.188571
0.240182 0.188899 0.188899
0.240731 0.189227 0.189227
0.241281 0.189555 0.189555
0.24183 0.189882 0.189882
0.24238 0.190209 0.190209
0.242929 0.190536 0.190536
