# t x1 y1 x2 y2 x3 y3
0 -0.97000436 0.24308753 0.97000436 -0.24308753 0 0
5.098483522512342e-05 -0.9700281277421354 0.2430654855095648 0.9699805891060133 -0.2431095737005669 4.753863612214068e-05 4.408819100208041e-05
9.961963018143133e-05 -0.9700507970223956 0.2430444563783671 0.9699579109446147 -0.2431306006061106 9.288607778091252e-05 8.614422774344771e-05
0.000146840978355032 -0.9700728047337966 0.243024037718214 0.9699358891218302 -0.2431510157298862 0.0001369156119664585 0.0001269780116722042
0.0001931998587129342 -0.9700944078588102 0.2430039913334115 0.969914266882987 -0.2431710573246748 0.0001801409758231461 0.0001670659912633591
0.0002390277140630238 -0.9701157609668849 0.242984173932021 0.9698928897575286 -0.2431908687071976 0.0002228712093561584 0.0002066947751766337
0.0002845267717147237 -0.9701369583560618 0.2429644980827722 0.9698716634849739 -0.243210537318137 0.0002652948710878611 0.0002460392353647699
0.000329821529325429 -0.9701580580723919 0.2429449099584902 0.9698505300285495 -0.2432301169869926 0.0003075280438422866 0.0002852070285023997
0.0003749890649259452 -0.9701790960487019 0.2429253762331139 0.9698294534526656 -0.2432496410391324 0.0003496425960362875 0.0003242648060185299
0.000420077267604614 -0.9702000946077203 0.2429058762003538 0.969808411427617 -0.243269130179097 0.0003916831801032975 0.0003632539787432468
0.0004651159571918891 -0.9702210676479045 0.2428863969663693 0.9697873900473358 -0.2432885972988187 0.0004336776005686443 0.0004022003324494706
0.0005101237278198165 -0.9702420238346665 0.2428669304910321 0.9697663806396321 -0.2433080504367267 0.0004756431950344076 0.0004411199456946905
0.0005551121838839902 -0.970262968575418 0.2428474717564968 0.9697453777915968 -0.2433274946092877 0.0005175907838212532 0.0004800228527909234
0.0006000885714590423 -0.9702839052463427 0.2428280176294666 0.9697243781228232 -0.2433469329487393 0.0005595271235194277 0.0005189153192727274
0.0006450574166740696 -0.9703048359561214 0.2428085661527925 0.9697033795214994 -0.2433663674114446 0.0006014564346219617 0.0005578012586521278
0.000690021547255483 -0.9703257620220671 0.2427891161037653 0.9696823806680483 -0.2433857992195442 0.0006433813540186858 0.000596683115778938
0.0007349827300382874 -0.9703466842672297 0.2427696667184513 0.9696613807378133 -0.2434052291365681 0.0006853035294164175 0.0006355624181168562
0.000779942069038821 -0.9703676032058922 0.2427502175195571 0.9696403792153873 -0.2434246576395266 0.000727223990504907 0.000674440119969499
0.0008249002541048039 -0.9703885191594241 0.2427307682089052 0.9696193757786241 -0.2434440850264011 0.0007691433807999776 0.0007133168174959184
0.0008698577162649437 -0.9704094323286552 0.2427113186002531 0.9695983702261625 -0.2434635114832994 0.0008110621024926489 0.0007521928830462849
0.000914814724800206 -0.9704303428390929 0.2426918685773139 0.9695773624321337 -0.2434829371264163 0.0008529804069591131 0.0007910685491024588
0.0009597714479047606 -0.9704512507691768 0.2426724180675217 0.9695563523178553 -0.2435023620282551 0.0008948984513214568 0.0008299439607334077
0.00100472799059573 -0.9704721561679335 0.2426529670256366 0.9695353398341384 -0.2435217862340135 0.0009368163337949963 0.00086881920837695
0.001049684418405363 -0.9704930590660086 0.2426335154234969 0.9695143249502295 -0.243541209771824 0.000978734115779043 0.000907694348327116
0.001094640772188273 -0.9705139594825617 0.2426140632436157 0.9694933076468983 -0.2435606326591541 0.001020651835663282 0.0009465694155384235
0.001139597077375664 -0.9705348574295741 0.2425946104751775 0.9694722879121176 -0.2435800549068058 0.001062569517456491 0.0009854444316282995
0.001184553349759125 -0.9705557529145415 0.2425751571115366 0.9694512657383622 -0.2435994765214151 0.001104487176179387 0.001024319409878498
