# x u_numeric u_exact error_u uprime_numeric uprime_exact error_uprime
0 0 0 0 1 1 0
0.000113501427792472 0.000113501427792472 0.0001135014275487736 2.436984262391834e-13 0.9999999935587129 0.9999999935587129 0
0.0002225486057988304 0.0002225486044215872 0.0002225486039617702 4.598169989298434e-13 0.9999999752360591 0.9999999752360591 0
0.0003289010860507608 0.0003289010807812041 0.0003289010801208976 6.603064991485275e-13 0.9999999459120381 0.9999999459120383 -2.220446049250313e-16
0.0004336033005309848 0.0004336032877955009 0.0004336032869438938 8.516070335896908e-13 0.9999999059940901 0.9999999059940904 -3.33066907387547e-16
0.0005372871278598466 0.0005372871030467797 0.0005372871020094 1.037379709044328e-12 0.9999998556612741 0.9999998556612746 -4.440892098500626e-16
0.000640339499417318 0.0006403394568768647 0.0006403394556570859 1.219778726808951e-12 0.9999997949826691 0.9999997949826698 -6.661338147750939e-16
0.000742999165499546 0.0007429990985378109 0.0007429990971377104 1.400100521631309e-12 0.9999997239761318 0.9999997239761327 -8.881784197001252e-16
0.0008454141509622213 0.0008454140518349104 0.0008454140502557745 1.579135910576013e-12 0.9999996426374768 0.999999642637478 -1.221245327087672e-15
0.0009476765072698038 0.0009476763671772626 0.0009476763654198907 1.757371917258943e-12 0.9999995509546509 0.9999995509546524 -1.554312234475219e-15
0.001049843585885731 0.001049843394969562 0.001049843393034452 1.935110491985137e-12 0.9999994489142713 0.9999994489142732 -1.887379141862766e-15
0.001151951161028186 0.001151950908369179 0.001151950906256641 2.112538225948479e-12 0.9999993365043324 0.9999993365043347 -2.331468351712829e-15
0.001254021564099559 0.001254021237716558 0.001254021235426785 2.28977253824425e-12 0.9999992137150587 0.9999992137150614 -2.664535259100376e-15
0.001356068741498752 0.001356068328348138 0.001356068325881252 2.466885636737137e-12 0.9999990805389219 0.9999990805389251 -3.108624468950438e-15
0.001458101405536647 0.001458100891512183 0.00145810088886826 2.643923057918385e-12 0.9999989369703303 0.9999989369703339 -3.663735981263017e-15
0.001560124999771936 0.001560124369704814 0.001560124366883901 2.820913424725346e-12 0.9999987830052351 0.9999987830052394 -4.218847493575595e-15
0.001662142925790011 0.001662142163448988 0.001662142160451114 2.997873867552348e-12 0.9999986186407603 0.9999986186407651 -4.773959005888173e-15
0.001764157309332247 0.00176415639742381 0.001764156394248994 3.174815878942416e-12 0.9999984438748921 0.9999984438748976 -5.440092820663267e-15
0.001866169478889548 0.001866168399058081 0.001866168395706335 3.351746397789457e-12 0.9999982587062373 0.9999982587062434 -6.106226635438361e-15
0.001968180264730666 0.001968178997558593 0.001968178994029924 3.528669544061724e-12 0.9999980631338412 0.999998063133848 -6.772360450213455e-15
0.0020701901857587 0.002070188710766605 0.002070188707061016 3.705588353525302e-12 0.9999978571570551 0.9999978571570627 -7.549516567451064e-15
0.002172199566282281 0.002172197861929001 0.002172197858046497 3.882504127222797e-12 0.9999976407754415 0.9999976407754497 -8.215650382226158e-15
0.002274208608992032 0.002274206652674736 0.002274206648615319 4.059417732515946e-12 0.9999974139887069 0.999997413988716 -9.103828801926284e-15
0.002376217440568707 0.002376215208622949 0.002376215204386619 4.236330036766489e-12 0.9999971767966561 0.999997176796666 -9.880984919163893e-15
0.002478226140187432 0.002478223607887192 0.00247822360347395 4.413241907336163e-12 0.9999969291991599 0.9999969291991707 -1.076916333886402e-14
0.002580234757332525 0.002580231898890241 0.002580231894300088 4.590152910544099e-12 0.9999966711961337 0.9999966711961453 -1.165734175856414e-14
0.002682243322931632 0.002682240111498219 0.002682240106731155 4.767063480071165e-12 0.9999964027875223 0.999996402787535 -1.265654248072678e-14
0.00278425185631451 0.00278424826397938 0.002784248259035406 4.943974049598232e-12 0.9999961239732906 0.9999961239733043 -1.365574320288943e-14
0.002886260369562251 0.002886256367353322 0.002886256362232438 5.120883751763561e-12 0.9999958347534165 0.9999958347534311 -1.465494392505207e-14
0.002988268870225534 0.002988264428109237 0.002988264422811443 5.29779345392889e-12 0.9999955351278865 0.9999955351279022 -1.565414464721471e-14
0.00309027736302353 0.003090272449904818 0.003090272444430114 5.474703589775087e-12 0.999995225096693 0.9999952250967098 -1.676436767183986e-14
0.003192285850905723 0.003192280434628072 0.003192280428976459 5.651612858259547e-12 0.9999949046598323 0.9999949046598502 -1.787459069646502e-14
0.003294294335715538 0.003294288383060952 0.00329428837723243 5.828522126744007e-12 0.9999945738173032 0.999994573817322 -1.887379141862766e-14
0.003396302818605119 0.003396296295294128 0.003396296289288697 6.005431395228467e-12 0.9999942325691059 0.999994232569126 -2.009503674571533e-14
0.003498311300294551 0.003498304170986221 0.00349830416480388 6.182340230032057e-12 0.9999938809152423 0.9999938809152636 -2.131628207280301e-14
0.003600319781233892 0.003600312009525816 0.003600312003166567 6.359249064835648e-12 0.9999935188557147 0.9999935188557373 -2.253752739989068e-14
0.003702328261704425 0.003702319810132732 0.003702319803596574 6.536157899639239e-12 0.9999931463905262 0.9999931463905499 -2.375877272697835e-14
0.003804336741881954 0.003804327571921304 0.003804327565208238 6.713066300761961e-12 0.9999927635196798 0.999992763519705 -2.520206265899105e-14
0.003906345221876354 0.003906335293939944 0.003906335287049969 6.889974701884682e-12 0.9999923702431794 0.999992370243206 -2.653433028854124e-14
