# x g Fp gprime Fpprime gsecond Fpsecond Fp_antiderivative
-0.3 -0.73219 -0.731704 2.2955 2.2935 22.7873 22.6432 -0.189966
-0.29 -0.708104 -0.707644 2.52091 2.51752 22.2813 22.1475 -0.197164
-0.28 -0.68179 -0.681371 2.74085 2.73619 21.6919 21.5722 -0.204111
-0.27 -0.653308 -0.652941 2.95448 2.94871 21.0207 20.9183 -0.210785
-0.26 -0.622724 -0.62242 3.16099 3.1543 20.2694 20.187 -0.217163
-0.25 -0.590115 -0.589881 3.3596 3.35219 19.4402 19.3798 -0.223226
-0.24 -0.555561 -0.555404 3.54954 3.54164 18.5357 18.4985 -0.228954
-0.23 -0.519155 -0.519078 3.73008 3.72192 17.5587 17.5454 -0.234328
-0.22 -0.480993 -0.480999 3.90049 3.89232 16.5124 16.523 -0.23933
-0.21 -0.441181 -0.441267 4.0601 4.05216 15.4002 15.4339 -0.243943
-0.2 -0.399829 -0.399993 4.20829 4.20079 14.226 14.2815 -0.24815
-0.19 -0.357056 -0.357291 4.34443 4.33759 12.9938 13.0691 -0.251938
-0.18 -0.312983 -0.313282 4.46798 4.46198 11.708 11.8007 -0.255292
-0.17 -0.26774 -0.268094 4.57843 4.57343 10.3733 10.4803 -0.258199
-0.16 -0.22146 -0.221859 4.6753 4.67143 8.99428 9.11248 -0.26065
-0.15 -0.17428 -0.174712 4.75818 4.75554 7.57616 7.70203 -0.262634
-0.14 -0.126344 -0.126795 4.82671 4.82535 6.12414 6.25403 -0.264142
-0.13 -0.077795 -0.0782538 4.88057 4.88051 4.64362 4.77383 -0.265167
-0.12 -0.0287821 -0.029235 4.91951 4.92074 3.14014 3.26706 -0.265705
-0.11 0.0205447 0.0201103 4.94332 4.94578 1.61936 1.73952 -0.265751
-0.1 0.0700334 0.0696295 4.95186 4.95548 0.0870402 0.197226 -0.265302
-0.09 0.119531 0.119168 4.94504 4.9497 -1.45099 -1.35366 -0.264358
-0.08 0.168883 0.168572 4.92284 4.9284 -2.98885 -2.90687 -0.262919
-0.07 0.217936 0.217684 4.88528 4.89158 -4.52067 -4.45605 -0.260988
-0.06 0.266538 0.266352 4.83246 4.83931 -6.04056 -5.99483 -0.258567
-0.05 0.314535 0.31442 4.76453 4.77174 -7.54269 -7.51681 -0.255663
-0.04 0.361778 0.361736 4.68169 4.68905 -9.02126 -9.01569 -0.252281
-0.03 0.40812 0.408151 4.5842 4.59152 -10.4706 -10.4852 -0.248431
-0.02 0.453415 0.453518 4.47239 4.47946 -11.8851 -11.9192 -0.244122
-0.01 0.497521 0.497693 4.34663 4.35327 -13.2594 -13.3119 -0.239365
0 0.540302 0.540538 4.20735 4.21338 -14.5882 -14.6573 -0.234172
0.01 0.581625 0.581917 4.05504 4.0603 -15.8663 -15.9502 -0.228559
0.02 0.621361 0.621702 3.89021 3.89457 -17.089 -17.1851 -0.222539
0.03 0.659389 0.659768 3.71346 3.71681 -18.2515 -18.3572 -0.216131
0.04 0.695593 0.696 3.5254 3.52766 -19.3495 -19.4618 -0.20935
0.05 0.729862 0.730286 3.3267 3.32781 -20.3789 -20.4948 -0.202217
0.06 0.762094 0.762523 3.11806 3.11801 -21.3358 -21.4523 -0.194751
0.07 0.792193 0.792615 2.90023 2.89903 -22.2168 -22.3307 -0.186974
0.08 0.82007 0.820476 2.67399 2.67167 -23.0186 -23.127 -0.178906
0.09 0.845647 0.846024 2.44014 2.43677 -23.7383 -23.8384 -0.170572
0.1 0.86885 0.869189 2.19951 2.19519 -24.3735 -24.4628 -0.161994
0.11 0.889617 0.889908 1.95296 1.94781 -24.922 -24.9982 -0.153196
0.12 0.907893 0.908129 1.70136 1.69553 -25.3821 -25.4433 -0.144204
0.13 0.923631 0.923805 1.44561 1.43925 -25.7522 -25.797 -0.135042
0.14 0.936794 0.936903 1.18662 1.17989 -26.0314 -26.0588 -0.125736
0.15 0.947355 0.947396 0.925291 0.918383 -26.219 -26.2283 -0.116313
0.16 0.955295 0.955267 0.662545 0.655635 -26.3148 -26.3059 -0.106797
0.17 0.960605 0.960508 0.3993 0.39257 -26.3189 -26.292 -0.0972162
0.18 0.963283 0.96312 0.136471 0.130096 -26.2317 -26.1877 -0.0875959
0.19 0.963338 0.963115 -0.125033 -0.130887 -26.0542 -25.9942 -0.0779625
0.2 0.960789 0.96051 -0.384316 -0.389497 -25.7876 -25.7132 -0.0683423
0.21 0.955662 0.955336 -0.640493 -0.644867 -25.4335 -25.3466 -0.0587609
0.22 0.947993 0.947627 -0.8927 -0.896152 -24.9938 -24.8967 -0.049244
0.23 0.937825 0.937429 -1.14009 -1.14253 -24.4708 -24.366 -0.0398167
0.24 0.92521 0.924795 -1.38185 -1.38321 -23.8673 -23.7574 -0.0305035
0.25 0.910209 0.909786 -1.61718 -1.61743 -23.186 -23.0739 -0.0213287
0.26 0.89289 0.892471 -1.84532 -1.84445 -22.4303 -22.3187 -0.0123155
0.27 0.873329 0.872924 -2.06555 -2.06358 -21.6038 -21.4956 -0.0034867
0.28 0.851608 0.851227 -2.27717 -2.27415 -20.71 -20.608 0.00513581
0.29 0.827816 0.827471 -2.47954 -2.47554 -19.7533 -19.66 0.013531
0.3 0.80205 0.801749 -2.67204 -2.66716 -18.7376 -18.6556 0.0216787
0.31 0.77441 0.774162 -2.85411 -2.84847 -17.6677 -17.599 0.0295597
0.32 0.745004 0.744816 -3.02523 -3.01898 -16.548 -16.4945 0.0371561
0.33 0.713944 0.71382 -3.18492 -3.17822 -15.3834 -15.3466 0.0444506
0.34 0.681346 0.68129 -3.33276 -3.32578 -14.1788 -14.1599 0.0514274
0.35 0.647329 0.647345 -3.46838 -3.4613 -12.9394 -12.9389 0.0580717
0.36 0.61202 0.612105 -3.59145 -3.58446 -11.6701 -11.6883 0.0643699
0.37 0.575543 0.575698 -3.7017 -3.69499 -10.3763 -10.413 0.0703099
0.38 0.538029 0.538249 -3.79891 -3.79266 -9.06321 -9.11762 0.0758804
0.39 0.499609 0.499888 -3.88292 -3.87729 -7.73605 -7.80706 0.0810718
0.4 0.460415 0.460747 -3.9536 -3.94876 -6.40011 -6.48611 0.0858756
0.41 0.420582 0.420957 -4.01091 -4.00699 -5.06061 -5.1596 0.0902846
0.42 0.380242 0.380651 -4.05482 -4.05195 -3.72273 -3.83233 0.094293
0.43 0.33953 0.339962 -4.08538 -4.08365 -2.39155 -2.50909 0.0978963
0.44 0.298578 0.299022 -4.10269 -4.10216 -1.07209 -1.1946 0.101091
0.45 0.25752 0.257962 -4.10688 -4.10759 0.23077 0.106456 0.103876
0.46 0.216484 0.216913 -4.09815 -4.10009 1.5123 1.38947 0.106251
0.47 0.175599 0.176003 -4.07672 -4.07988 2.76791 2.6499 0.108215
0.48 0.134991 0.135357 -4.04289 -4.04719 3.9932 3.88332 0.109772
0.49 0.0947814 0.0950997 -3.99697 -4.00232 5.18394 5.0854 0.110924
0.5 0.0550902 0.0553504 -3.93934 -3.9456 6.33615 6.25194 0.111675
0.51 0.0160323 0.016226 -3.87039 -3.87741 7.44605 7.37889 0.112033
0.52 -0.0222814 -0.0221609 -3.79057 -3.79816 8.51009 8.46234 0.112002
0.53 -0.0597445 -0.059702 -3.70035 -3.70832 9.52498 9.49855 0.111592
0.54 -0.0962555 -0.0962936 -3.60025 -3.60836 10.4877 10.484 0.110811
0.55 -0.131718 -0.131837 -3.49078 -3.49882 11.3955 11.4153 0.10967
0.56 -0.166042 -0.16624 -3.37253 -3.38025 12.2459 12.2895 0.108178
0.57 -0.199141 -0.199414 -3.24606 -3.25323 13.0366 13.1036 0.106349
0.58 -0.230938 -0.231278 -3.112 -3.11838 13.7659 13.8551 0.104195
0.59 -0.261358 -0.261758 -2.97096 -2.97634 14.432 14.5416 0.101728
0.6 -0.290336 -0.290783 -2.82357 -2.82777 15.0337 15.1613 0.0989642
0.61 -0.317811 -0.318294 -2.6705 -2.67335 15.5699 15.7124 0.0959176
0.62 -0.343729 -0.344233 -2.5124 -2.51376 16.0399 16.1936 0.0926036
0.63 -0.368044 -0.368554 -2.34992 -2.34971 16.4433 16.604 0.0890383
0.64 -0.390715 -0.391215 -2.18375 -2.18192 16.7799 16.9429 0.0852381
0.65 -0.411709 -0.412182 -2.01455 -2.01109 17.0498 17.2103 0.0812196
0.66 -0.430998 -0.431429 -1.84298 -1.83795 17.2534 17.4063 0.0770001
0.67 -0.448563 -0.448936 -1.6697 -1.6632 17.3914 17.5316 0.0725969
0.68 -0.464389 -0.46469 -1.49536 -1.48755 17.4648 17.5871 0.0680273
0.69 -0.478469 -0.478686 -1.32061 -1.31169 17.4747 17.5743 0.0633089
0.7 -0.490802 -0.490925 -1.14608 -1.13629 17.4226 17.495 0.0584594
0.71 -0.501393 -0.501416 -0.972363 -0.962001 17.3101 17.3515 0.0534963
0.72 -0.510254 -0.510171 -0.800069 -0.789462 17.1391 17.1462 0.0484369
0.73 -0.517401 -0.517213 -0.629769 -0.619272 16.9116 16.8823 0.0432985
0.74 -0.522858 -0.522566 -0.462017 -0.452001 16.63 16.5628 0.0380983
0.75 -0.526652 -0.526264 -0.297342 -0.288188 16.2966 16.1915 0.0328527
0.76 -0.528816 -0.528343 -0.136249 -0.128333 15.914 15.772 0.0275784
0.77 -0.52939 -0.528846 0.0207836 0.027104 15.485 15.3084 0.0222911
0.78 -0.528416 -0.527817 0.173306 0.177701 15.0125 14.8048 0.0170066
0.79 -0.52594 -0.525309 0.320898 0.323082 14.4993 14.2657 0.0117397
0.8 -0.522016 -0.521374 0.463167 0.462912 13.9486 13.6955 0.00650514
0.81 -0.516696 -0.51607 0.599756 0.596902 13.3636 13.0984 0.0013168
0.82 -0.51004 -0.509456 0.730335 0.724806 12.7474 12.479 -0.0038119
