# rmax E0 E_exact error
4 -0.4829222659 -0.5 0.01707773414
6 -0.4989626418 -0.5 0.001037358154
8 -0.49966286 -0.5 0.0003371400024
10 -0.4996871482 -0.5 0.0003128518284
12 -0.49968787 -0.5 0.0003121299966
15 -0.4996878899 -0.5 0.0003121100633
20 -0.49968789 -0.5 0.0003121099839
