20 0.006 0.0065 0.923077
30 0.007 0.0065 1.07692
40 0.0075 0.0075 1
50 0.0085 0.0085 1
60 0.01 0.009 1.11111
70 0.0125 0.011 1.13636
80 0.0155 0.013 1.19231
90 0.019 0.016 1.1875
100 0.024 0.021 1.14286
110 0.031 0.0225 1.37778
120 0.038 0.028 1.35714
