# Newtonian circular orbit
# eps = 0
# phi u u_prime x y
0 1 0 1 0
0.03141592653589793 1 0 0.9995065603657316 0.03141075907812829
0.06283185307179587 1 0 0.9980267284282716 0.06279051952931337
0.09424777960769379 1 0 0.99556196460308 0.09410831331851431
0.1256637061435917 1 0 0.9921147013144779 0.1253332335643043
0.1570796326794897 1 0 0.9876883405951378 0.1564344650402309
0.1884955592153876 1 0 0.9822872507286887 0.1873813145857246
0.2199114857512855 1 0 0.9759167619387474 0.2181432413965425
0.2513274122871835 1 0 0.9685831611286311 0.2486898871648548
0.2827433388230814 1 0 0.9602936856769431 0.2789911060392293
0.3141592653589793 1 0 0.9510565162951535 0.3090169943749474
0.3455751918948773 1 0 0.9408807689542255 0.3387379202452914
0.3769911184307752 1 0 0.9297764858882515 0.3681245526846779
0.4084070449666731 1 0 0.9177546256839811 0.3971478906347806
0.439822971502571 1 0 0.9048270524660196 0.4257792915650727
0.471238898038469 1 0 0.8910065241883679 0.4539904997395468
0.5026548245743669 1 0 0.8763066800438636 0.4817536741017153
0.5340707511102648 1 0 0.8607420270039436 0.5090414157503713
0.5654866776461628 1 0 0.8443279255020151 0.5358267949789967
0.5969026041820608 1 0 0.8270805742745618 0.5620833778521306
0.6283185307179586 1 0 0.8090169943749475 0.5877852522924731
0.6597344572538566 1 0 0.7901550123756904 0.6129070536529765
0.6911503837897546 1 0 0.7705132427757891 0.6374239897486897
0.7225663103256524 1 0 0.7501110696304596 0.6613118653236518
0.7539822368615503 1 0 0.7289686274214116 0.6845471059286886
0.7853981633974483 1 0 0.7071067811865476 0.7071067811865475
0.8168140899333461 1 0 0.6845471059286888 0.7289686274214114
0.8482300164692441 1 0 0.6613118653236519 0.7501110696304595
0.8796459430051421 1 0 0.6374239897486897 0.7705132427757891
0.91106186954104 1 0 0.6129070536529766 0.7901550123756903
0.9424777960769379 1 0 0.5877852522924732 0.8090169943749473
0.9738937226128359 1 0 0.5620833778521306 0.8270805742745618
1.005309649148734 1 0 0.5358267949789967 0.8443279255020151
1.036725575684632 1 0 0.5090414157503714 0.8607420270039435
1.06814150222053 1 0 0.4817536741017154 0.8763066800438635
1.099557428756428 1 0 0.4539904997395468 0.8910065241883679
1.130973355292326 1 0 0.4257792915650727 0.9048270524660196
1.162389281828223 1 0 0.3971478906347808 0.917754625683981
1.193805208364122 1 0 0.3681245526846779 0.9297764858882515
1.225221134900019 1 0 0.3387379202452915 0.9408807689542255
1.256637061435917 1 0 0.3090169943749475 0.9510565162951535
1.288052987971815 1 0 0.2789911060392293 0.9602936856769431
1.319468914507713 1 0 0.2486898871648547 0.9685831611286312
1.350884841043611 1 0 0.2181432413965427 0.9759167619387473
1.382300767579509 1 0 0.1873813145857245 0.9822872507286887
1.413716694115407 1 0 0.1564344650402309 0.9876883405951378
1.445132620651305 1 0 0.1253332335643043 0.9921147013144779
1.476548547187203 1 0 0.09410831331851428 0.99556196460308
1.507964473723101 1 0 0.06279051952931351 0.9980267284282716
1.539380400258999 1 0 0.0314107590781284 0.9995065603657316
1.570796326794897 1 0 6.123233995736766e-17 1
1.602212253330795 1 0 -0.03141075907812828 0.9995065603657316
1.633628179866692 1 0 -0.06279051952931318 0.9980267284282716
1.66504410640259 1 0 -0.09410831331851439 0.99556196460308
1.696460032938488 1 0 -0.1253332335643041 0.9921147013144779
1.727875959474386 1 0 -0.1564344650402308 0.9876883405951378
1.759291886010284 1 0 -0.1873813145857246 0.9822872507286887
1.790707812546182 1 0 -0.2181432413965426 0.9759167619387474
1.82212373908208 1 0 -0.2486898871648546 0.9685831611286312
1.853539665617978 1 0 -0.2789911060392294 0.9602936856769431
1.884955592153876 1 0 -0.3090169943749473 0.9510565162951536
1.916371518689774 1 0 -0.3387379202452914 0.9408807689542255
1.947787445225672 1 0 -0.368124552684678 0.9297764858882513
1.97920337176157 1 0 -0.3971478906347807 0.9177546256839811
2.010619298297468 1 0 -0.4257792915650728 0.9048270524660195
2.042035224833366 1 0 -0.4539904997395467 0.8910065241883679
2.073451151369263 1 0 -0.481753674101715 0.8763066800438637
2.104867077905161 1 0 -0.5090414157503713 0.8607420270039436
2.136283004441059 1 0 -0.5358267949789964 0.8443279255020152
2.167698930976957 1 0 -0.5620833778521306 0.8270805742745618
2.199114857512855 1 0 -0.587785252292473 0.8090169943749475
2.230530784048753 1 0 -0.6129070536529763 0.7901550123756905
2.261946710584651 1 0 -0.6374239897486896 0.7705132427757893
2.293362637120549 1 0 -0.661311865323652 0.7501110696304594
2.324778563656447 1 0 -0.6845471059286884 0.7289686274214119
2.356194490192345 1 0 -0.7071067811865475 0.7071067811865476
2.387610416728243 1 0 -0.7289686274214117 0.6845471059286885
2.419026343264141 1 0 -0.7501110696304596 0.6613118653236518
2.450442269800039 1 0 -0.7705132427757891 0.6374239897486899
2.481858196335937 1 0 -0.7901550123756904 0.6129070536529764
2.513274122871834 1 0 -0.8090169943749473 0.5877852522924732
2.544690049407732 1 0 -0.8270805742745617 0.5620833778521308
2.57610597594363 1 0 -0.8443279255020151 0.5358267949789967
2.607521902479528 1 0 -0.8607420270039435 0.5090414157503714
2.638937829015426 1 0 -0.8763066800438636 0.4817536741017152
2.670353755551324 1 0 -0.8910065241883678 0.4539904997395469
2.701769682087222 1 0 -0.9048270524660194 0.4257792915650729
2.73318560862312 1 0 -0.9177546256839811 0.3971478906347806
2.764601535159018 1 0 -0.9297764858882515 0.3681245526846777
2.796017461694916 1 0 -0.9408807689542253 0.3387379202452917
2.827433388230814 1 0 -0.9510565162951535 0.3090169943749475
2.858849314766712 1 0 -0.9602936856769431 0.2789911060392291
2.89026524130261 1 0 -0.9685831611286311 0.2486898871648548
2.921681167838508 1 0 -0.9759167619387473 0.2181432413965427
2.953097094374406 1 0 -0.9822872507286887 0.1873813145857245
2.984513020910303 1 0 -0.9876883405951377 0.156434465040231
3.015928947446201 1 0 -0.9921147013144778 0.1253332335643045
3.047344873982099 1 0 -0.99556196460308 0.09410831331851435
