1 117 6 120.0659065
2 100 5 101.2321874
3 88 4 85.35275385
4 72 4 71.96419219
6 53 4 51.15808608
9 29.5 3 30.66274553
10 25.2 3 25.85294103
13 15.2 2 15.49553967
15 11.1 2 11.01550824
